date,home_team,away_team,neutral,match_no,stage,group,venue_city,competition,home_gf12,home_ga12,home_pts12,home_prev_matches,away_gf12,away_ga12,away_pts12,away_prev_matches,fifa_home,fifa_away,diff_fifa,elo_home,elo_away,diff_elo,h2h,home_advantage,match_id,home_score,away_score,pen_home,pen_away,source_note
2026-06-11,Mexico,South Africa,1,1,Group Stage,A,Mexico City,FIFA World Cup 2026,1.5743131819866076,0.5010176768468179,2.4981996173717014,12,1.4886673720692911,1.102729775439071,1.5356246088442995,12,1700.98,1393.21,307.77,1881.0,1511.0,370.0,-0.0495626822157434,0,,,,,,
2026-06-11,South Korea,Czech Republic,1,2,Group Stage,A,"Zapopan, Mexico",FIFA World Cup 2026,2.166690239448409,0.5981799103704499,2.251625999030736,12,1.9017918586444849,1.4154612097981834,1.4379602009539303,12,1612.55,1506.49,106.05999999999996,1786.0,1712.0,74.0,0.0,0,,,,,,
2026-06-12,Canada,Bosnia and Herzegovina,1,3,Group Stage,B,Toronto,FIFA World Cup 2026,1.909479051787815,0.8238527751522227,1.8424619372781672,12,1.4611780528587046,1.2722054770561546,1.3779992462903143,12,1551.5,1395.19,156.30999999999997,1767.0,1616.0,151.0,0.0,0,,,,,,
2026-06-12,United States,Paraguay,1,4,Group Stage,D,"Inglewood, California",FIFA World Cup 2026,1.6520078728632157,1.2868090189408006,1.5207916325545148,12,1.2226439334132873,0.8317945994087171,1.7108359371772277,12,1688.53,1488.05,200.48,1780.0,1780.0,0.0,0.3391642371234208,0,,,,,,
2026-06-13,Qatar,Switzerland,1,5,Group Stage,B,"Santa Clara, California",FIFA World Cup 2026,0.7936921534047885,1.5125984731650048,0.9855369543428844,12,1.8880656359910024,1.0276164953605007,1.640990107081323,12,1459.45,1640.92,-181.47000000000003,1447.0,1865.0,-418.0,0.0,0,,,,,,
2026-06-13,Brazil,Morocco,1,6,Group Stage,C,"East Rutherford, New Jersey",FIFA World Cup 2026,1.3971046792890305,1.3067713925242808,1.292603982881252,12,1.7618760259036927,0.1867186324694819,2.4586255457986432,12,1765.34,1755.62,9.720000000000027,1978.0,1840.0,138.0,1.0,0,,,,,,
2026-06-13,Haiti,Scotland,1,7,Group Stage,C,"Foxborough, Massachusetts",FIFA World Cup 2026,1.4067882439426955,1.1807583120134415,1.5945714071488202,12,1.9712772242750725,1.345700986320363,2.012299039142578,12,1277.67,1518.77,-241.0999999999999,1536.0,1794.0,-258.0,0.0,0,,,,,,
2026-06-14,Australia,Turkey,1,8,Group Stage,D,"Vancouver, Canada",FIFA World Cup 2026,2.2243116821424183,0.4597494745681348,2.7881969541293685,12,1.687158793500274,1.3933147479519334,1.8770305846651896,12,1605.61,1579.47,26.139999999999876,1839.0,1849.0,-10.0,1.0,0,,,,,,
2026-06-14,Germany,Curacao,1,9,Group Stage,E,Houston,FIFA World Cup 2026,2.624032403784423,0.802145759224069,2.119167293702075,12,1.417495224787154,1.72822217251985,1.069584474096308,12,1743.54,1287.0,456.54,1939.0,1427.0,512.0,0.0,0,,,,,,
2026-06-14,Netherlands,Japan,1,10,Group Stage,F,"Arlington, Texas",FIFA World Cup 2026,2.919511571649839,0.7712118144944724,2.1426432353457767,12,2.3785867141117807,0.708458424255731,2.300103882988842,12,1749.2,1665.94,83.25999999999999,1944.0,1910.0,34.0,1.0,0,,,,,,
2026-06-14,Ivory Coast,Ecuador,1,11,Group Stage,E,Philadelphia,FIFA World Cup 2026,2.010761670046437,1.0190817120014886,1.8338342007664776,12,0.6363649890235228,0.1034712171997145,1.8194694730648973,12,1568.62,1570.76,-2.1400000000001,1743.0,1890.0,-147.0,0.0,0,,,,,,
2026-06-14,Sweden,Tunisia,1,12,Group Stage,F,"Guadalupe, Mexico",FIFA World Cup 2026,1.8118824020957471,1.7097169462356512,1.5376088105079544,12,1.912573929753951,1.1075095557476824,1.537057972922107,12,1533.19,1453.0,80.19000000000005,1755.0,1585.0,170.0,0.0,0,,,,,,
2026-06-15,Spain,Cape Verde,1,13,Group Stage,H,Atlanta,FIFA World Cup 2026,3.232680755773457,1.1678626026648828,2.274859462768591,12,1.3574138503700053,1.2891336822543389,1.3095538412616,12,1856.03,1389.79,466.24,2129.0,1606.0,523.0,0.0,0,,,,,,
2026-06-15,Belgium,Egypt,1,14,Group Stage,G,Seattle,FIFA World Cup 2026,3.0001209122733603,0.9896279871496768,1.9661518948618413,12,0.985610713239228,0.9256578730577604,1.4622741097509038,12,1733.93,1570.67,163.26,1879.0,1711.0,168.0,0.0,0,,,,,,
2026-06-15,Saudi Arabia,Uruguay,1,15,Group Stage,H,"Miami Gardens, Florida",FIFA World Cup 2026,0.9825766224896556,1.0459214011623852,1.3097275017592216,12,0.9347920966732864,0.5466104434374556,1.4138456548620402,12,1435.0,1661.95,-226.95000000000005,1598.0,1870.0,-272.0,-1.0,0,,,,,,
2026-06-15,Iran,New Zealand,1,16,Group Stage,G,"Inglewood, California",FIFA World Cup 2026,1.2584058058405283,0.5738445743988971,1.6921379058937451,12,2.156937906484525,1.2877455972726646,1.4265322840463204,12,1605.12,1290.04,315.0799999999999,1756.0,1578.0,178.0,0.0,0,,,,,,
2026-06-16,France,Senegal,1,17,Group Stage,I,"East Rutherford, New Jersey",FIFA World Cup 2026,2.5820943355938417,0.9633420008309752,2.345092945765742,12,1.6363770621799258,0.9186991156634334,2.17405964658434,12,1887.11,1667.66,219.44999999999985,2063.0,1860.0,203.0,-1.0,0,,,,,,
2026-06-16,Iraq,Norway,1,18,Group Stage,I,"Foxborough, Massachusetts",FIFA World Cup 2026,1.0983698837515317,0.8844540829729872,1.838670690871189,12,4.291030995610301,0.8136067454035105,2.875246842171939,12,1426.53,1577.18,-150.6500000000001,1607.0,1914.0,-307.0,0.0,0,,,,,,
2026-06-16,Argentina,Algeria,1,19,Group Stage,J,"Kansas City, Missouri",FIFA World Cup 2026,1.6710095403499334,0.638756209965649,1.844276949101922,12,1.464793063300018,0.6913406379409939,2.088566318825693,12,1889.06,1559.24,329.81999999999994,2115.0,1772.0,343.0,0.0,0,,,,,,
2026-06-17,Austria,Jordan,1,20,Group Stage,J,"Santa Clara, California",FIFA World Cup 2026,2.029447415977865,0.7910382015313137,2.004866956973141,12,1.6351998060284498,1.3688444303208422,1.605087320098489,12,1612.86,1372.29,240.56999999999996,1830.0,1680.0,150.0,1.0,0,,,,,,
2026-06-17,Portugal,DR Congo,1,21,Group Stage,K,Houston,FIFA World Cup 2026,3.000229835003208,1.338019736626063,1.9189977587054865,12,1.17427751725151,0.5607979861110977,1.905882409437784,12,1755.09,1487.18,267.90999999999985,1989.0,1652.0,337.0,0.0,0,,,,,,
2026-06-17,England,Croatia,1,22,Group Stage,L,"Arlington, Texas",FIFA World Cup 2026,2.9020487492696687,0.1027624360112325,2.899634298754989,12,2.408375109840654,0.7843288606599932,2.3407836825352755,12,1847.68,1695.21,152.47000000000003,2024.0,1912.0,112.0,0.3467704958562613,0,,,,,,
2026-06-17,Ghana,Panama,1,23,Group Stage,L,Toronto,FIFA World Cup 2026,1.6348526101579397,0.8458073042587569,1.6821744961443614,12,2.020594645446641,0.7335180140512819,2.2839137408879475,12,1380.71,1505.33,-124.61999999999988,1510.0,1730.0,-220.0,0.0,0,,,,,,
2026-06-17,Uzbekistan,Colombia,1,24,Group Stage,K,Mexico City,FIFA World Cup 2026,1.254098806434639,0.4021165056484269,1.876767155091036,12,2.205030743303744,1.3548154910107726,1.5095361187073533,12,1444.48,1712.6,-268.1199999999999,1714.0,1982.0,-268.0,0.0,0,,,,,,
2026-06-18,Czech Republic,South Africa,1,25,Group Stage,A,Atlanta,FIFA World Cup 2026,1.764997806149439,1.5696645760600798,1.1556275240618172,12,1.1512310819455318,1.3244846111324795,1.1658819272082288,12,1506.49,1393.21,113.27999999999996,1712.0,1511.0,201.0,0.0,0,,,,,,
2026-06-18,Switzerland,Bosnia and Herzegovina,1,26,Group Stage,B,"Inglewood, California",FIFA World Cup 2026,1.786710276858,0.996509403245009,1.5753766599965435,12,1.4182570504076482,1.048223980808235,1.3482561352787232,12,1640.92,1395.19,245.73,1865.0,1616.0,249.0,0.0,0,,,,,,
2026-06-18,Canada,Qatar,1,27,Group Stage,B,"Vancouver, Canada",FIFA World Cup 2026,1.8137109258824335,0.8149482285564791,1.756259549857517,12,0.8312192813149418,1.4193574802193738,0.9881677634628588,12,1551.5,1459.45,92.04999999999995,1767.0,1447.0,320.0,0.0,0,,,,,,
2026-06-18,Mexico,South Korea,1,28,Group Stage,A,"Zapopan, Mexico",FIFA World Cup 2026,1.687678128131694,0.4023779529743393,2.648339608990121,12,2.037274370375465,0.6901512765607675,2.3858487815346563,12,1700.98,1612.55,88.43000000000006,1881.0,1786.0,95.0,0.2994004806179533,0,,,,,,
2026-06-19,United States,Australia,1,29,Group Stage,D,Seattle,FIFA World Cup 2026,2.09221284444152,1.2166028871952057,1.8269109812924795,12,2.21646623822309,0.3553219214125594,2.880899960152673,12,1688.53,1605.61,82.92000000000007,1780.0,1839.0,-59.0,0.0,0,,,,,,
2026-06-19,Scotland,Morocco,1,30,Group Stage,C,"Foxborough, Massachusetts",FIFA World Cup 2026,1.8495072928443288,1.118659295788959,2.2236228840378427,12,1.6425263273238675,0.3592047972152537,2.188380015287666,12,1518.77,1755.62,-236.8499999999999,1794.0,1840.0,-46.0,-1.0,0,,,,,,
2026-06-19,Brazil,Haiti,1,31,Group Stage,C,Philadelphia,FIFA World Cup 2026,1.3529144390830212,1.254634486206809,1.2661740135202224,12,1.099916942794242,1.167479787996676,1.2542965129187231,12,1765.34,1277.67,487.6699999999999,1978.0,1536.0,442.0,1.0,0,,,,,,
2026-06-20,Turkey,Paraguay,1,32,Group Stage,D,"Santa Clara, California",FIFA World Cup 2026,1.1084258839305017,1.401911695392852,1.2618904585305712,12,1.1846058389540848,1.2221159504023376,1.6527102652720085,12,1579.47,1488.05,91.42000000000009,1849.0,1780.0,69.0,-1.0,0,,,,,,
2026-06-20,Netherlands,Sweden,1,33,Group Stage,F,Houston,FIFA World Cup 2026,2.6924634564974936,1.0560680973253085,1.8738886605018676,12,2.3604555606731537,1.5792812390025222,1.8048597678623808,12,1749.2,1533.19,216.01,1944.0,1755.0,189.0,0.1902410335075528,0,,,,,,
2026-06-20,Germany,Ivory Coast,1,34,Group Stage,E,Toronto,FIFA World Cup 2026,3.8789719849114266,0.872720915712535,2.393015197288816,12,1.829526182006196,0.836354391703531,2.042934559459556,12,1743.54,1568.62,174.92000000000007,1939.0,1743.0,196.0,0.0,0,,,,,,
2026-06-20,Ecuador,Curacao,1,35,Group Stage,E,"Kansas City, Missouri",FIFA World Cup 2026,0.5442252437385272,0.2332802656431889,1.5560271770654426,12,1.2176685264625422,3.833841206672208,0.6179420286661946,12,1570.76,1287.0,283.76,1890.0,1427.0,463.0,0.0,0,,,,,,
2026-06-21,Tunisia,Japan,1,36,Group Stage,F,"Guadalupe, Mexico",FIFA World Cup 2026,1.3480043809092892,2.1668581109177047,0.9188683131974268,12,2.464357588731138,0.8212116583506824,2.2119495857637004,12,1453.0,1665.94,-212.94000000000003,1585.0,1910.0,-325.0,-0.4665202212372023,0,,,,,,
2026-06-21,Spain,Saudi Arabia,1,37,Group Stage,H,Atlanta,FIFA World Cup 2026,2.7364398346074235,0.9810508279125104,2.046260456535813,12,0.98562032418858,1.0100689595677652,1.2834513939723902,12,1856.03,1435.0,421.03,2129.0,1598.0,531.0,1.0,0,,,,,,
2026-06-21,Belgium,Iran,1,38,Group Stage,G,"Inglewood, California",FIFA World Cup 2026,2.6703041619838745,0.99151011274148,1.8239611701939349,12,1.38840774110764,0.8255450696272248,1.547302329771683,12,1733.93,1605.12,128.81000000000017,1879.0,1756.0,123.0,0.0,0,,,,,,
2026-06-21,Uruguay,Cape Verde,1,39,Group Stage,H,"Miami Gardens, Florida",FIFA World Cup 2026,0.968535616918726,0.6353373136158013,1.355227169753812,12,1.0571840625411475,1.0026228985926704,1.247357590791868,12,1661.95,1389.79,272.1600000000001,1870.0,1606.0,264.0,0.0,0,,,,,,
2026-06-21,New Zealand,Egypt,1,40,Group Stage,G,"Vancouver, Canada",FIFA World Cup 2026,2.1109949015826324,1.4515643247368597,1.314304603442565,12,1.012399617882457,0.914841907508927,1.4032567020266522,12,1290.04,1570.67,-280.6300000000001,1578.0,1711.0,-133.0,-1.0,0,,,,,,
2026-06-22,Argentina,Austria,1,41,Group Stage,J,"Arlington, Texas",FIFA World Cup 2026,1.8720874861511108,0.5421115834861956,2.019139315721804,12,2.241005646711121,0.8244842142274632,2.2203594874203825,12,1889.06,1612.86,276.20000000000005,2115.0,1830.0,285.0,0.0,0,,,,,,
2026-06-22,France,Iraq,1,42,Group Stage,I,Philadelphia,FIFA World Cup 2026,2.7230290115391127,0.9923062226465644,2.505090625292944,12,1.0810450971897605,1.5326632758669425,1.4402189801570482,12,1887.11,1426.53,460.5799999999999,2063.0,1607.0,456.0,0.0,0,,,,,,
2026-06-22,Norway,Senegal,1,43,Group Stage,I,"East Rutherford, New Jersey",FIFA World Cup 2026,4.271512718986253,0.8697104341780978,2.89500721039906,12,1.48810661384355,1.3984064996742387,1.6755515477754743,12,1577.18,1667.66,-90.48000000000002,1914.0,1860.0,54.0,0.0,0,,,,,,
2026-06-22,Jordan,Algeria,1,44,Group Stage,J,"Santa Clara, California",FIFA World Cup 2026,1.5283035280698003,1.679742996396976,1.3167733385339546,12,1.1626980512199878,1.2343560980955508,1.6355314036887438,12,1372.29,1559.24,-186.95000000000005,1680.0,1772.0,-92.0,-1.0,0,,,,,,
2026-06-23,Portugal,Uzbekistan,1,45,Group Stage,K,Houston,FIFA World Cup 2026,2.5935316327208944,1.2867990618830856,1.7279404711969957,12,1.2365335878829171,0.938012219609887,1.5210757781649846,12,1755.09,1444.48,310.6099999999999,1989.0,1714.0,275.0,0.0,0,,,,,,
